[2026-08-03 08:53:17 +0000] [17666] [INFO] Starting gunicorn 23.0.0
[2026-08-03 08:53:17 +0000] [17666] [ERROR] Connection in use: ('127.0.0.1', 8001)
    return_val = func(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 936, in get_installed_apps
    installed = orjson.loads(db.get_global("installed_apps") or "[]")
                             ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1142, in get_global
    return self.get_default(key, user)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1146, in get_default
    d = self.get_defaults(key, parent)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 1162, in get_defaults
    defaults = frappe.defaults.get_defaults_for(parent)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/defaults.py", line 249, in get_defaults_for
    .run(as_dict=True)
     ~~~^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/query_builder/utils.py", line 131, in execute_query
    result = frappe.local.db.sql(query, params, *args, **kwargs)  # nosemgrep
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 249, in sql
    self.connect()
    ~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/database.py", line 147, in connect
    self.get_connection()
    ~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 113, in get_connection
    conn = self._get_connection()
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 118, in _get_connection
    return self.create_connection()
           ~~~~~~~~~~~~~~~~~~~~~~^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/database/mariadb/mysqlclient.py", line 121, in create_connection
    return MySQLdb.connect(**self.get_connection_settings())
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/__init__.py", line 121, in Connect
    return Connection(*args, **kwargs)
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/MySQLdb/connections.py", line 200, in __init__
    super().__init__(*args, **kwargs2)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
MySQLdb.OperationalError: (1045, "Access denied for user '_822c72c2e1855b78'@'localhost' (using password: YES)")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 134, in handle
    self.handle_request(listener, req, client, addr)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/gunicorn/workers/sync.py", line 177, in handle_request
    respiter = self.wsgi(environ, resp.start_response)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 84, in application
    app(environ, start_response),
    ~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/env/lib/python3.14/site-packages/werkzeug/wrappers/request.py", line 193, in application
    resp = f(*args[:-2] + (request,))
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 145, in application
    response = e.get_response(request.environ) if isinstance(e, HTTPException) else handle_exception(e)
                                                                                    ~~~~~~~~~~~~~~~~^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/permissions.py", line 930, in wrapper
    return fn(e, *args, **kwargs)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 354, in handle_exception
    frappe.get_request_header("Accept") and (frappe.local.is_ajax or "application/json" in accept_header)
                                             ^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/local.py", line 28, in __getattribute__
    raise AttributeError(name)
AttributeError: is_ajax
[2026-08-06 08:10:04 +0000] [376] [INFO] Handling signal: term
[2026-08-06 08:10:04 +0000] [892] [INFO] Worker exiting (pid: 892)
[2026-08-06 08:10:04 +0000] [975] [INFO] Worker exiting (pid: 975)
[2026-08-06 08:10:04 +0000] [915] [INFO] Worker exiting (pid: 915)
[2026-08-06 08:10:04 +0000] [887] [INFO] Worker exiting (pid: 887)
[2026-08-06 08:10:04 +0000] [864] [INFO] Worker exiting (pid: 864)
[2026-08-06 08:10:04 +0000] [1001] [INFO] Worker exiting (pid: 1001)
[2026-08-06 08:10:04 +0000] [1028] [INFO] Worker exiting (pid: 1028)
[2026-08-06 08:10:04 +0000] [939] [INFO] Worker exiting (pid: 939)
[2026-08-06 08:10:04 +0000] [1047] [INFO] Worker exiting (pid: 1047)
[2026-08-06 08:10:06 +0000] [376] [INFO] Shutting down: Master
[2026-08-06 09:22:57 +0000] [2012] [INFO] Starting gunicorn 23.0.0
[2026-08-06 09:22:57 +0000] [2012] [INFO] Listening at: http://127.0.0.1:8001 (2012)
[2026-08-06 09:22:57 +0000] [2012] [INFO] Using worker: sync
[2026-08-06 09:22:57 +0000] [2439] [INFO] Booting worker with pid: 2439
[2026-08-06 09:22:57 +0000] [2481] [INFO] Booting worker with pid: 2481
[2026-08-06 09:22:57 +0000] [2551] [INFO] Booting worker with pid: 2551
[2026-08-06 09:22:57 +0000] [2595] [INFO] Booting worker with pid: 2595
[2026-08-06 09:22:57 +0000] [2653] [INFO] Booting worker with pid: 2653
[2026-08-06 09:22:57 +0000] [2700] [INFO] Booting worker with pid: 2700
[2026-08-06 09:22:58 +0000] [2701] [INFO] Booting worker with pid: 2701
[2026-08-06 09:22:58 +0000] [2725] [INFO] Booting worker with pid: 2725
[2026-08-06 09:22:58 +0000] [2726] [INFO] Booting worker with pid: 2726
[2026-08-06 11:17:07 +0000] [2012] [INFO] Handling signal: term
[2026-08-06 11:17:07 +0000] [2551] [INFO] Worker exiting (pid: 2551)
[2026-08-06 11:17:07 +0000] [2700] [INFO] Worker exiting (pid: 2700)
[2026-08-06 11:17:07 +0000] [2725] [INFO] Worker exiting (pid: 2725)
[2026-08-06 11:17:07 +0000] [2481] [INFO] Worker exiting (pid: 2481)
[2026-08-06 11:17:08 +0000] [2701] [INFO] Worker exiting (pid: 2701)
[2026-08-06 11:17:08 +0000] [2595] [INFO] Worker exiting (pid: 2595)
[2026-08-06 11:17:08 +0000] [2439] [INFO] Worker exiting (pid: 2439)
[2026-08-06 11:17:08 +0000] [2653] [INFO] Worker exiting (pid: 2653)
[2026-08-06 11:17:08 +0000] [2726] [INFO] Worker exiting (pid: 2726)
[2026-08-06 11:17:09 +0000] [2012] [INFO] Shutting down: Master
[2026-08-07 05:09:35 +0000] [378] [INFO] Starting gunicorn 23.0.0
[2026-08-07 05:09:35 +0000] [378] [INFO] Listening at: http://127.0.0.1:8001 (378)
[2026-08-07 05:09:35 +0000] [378] [INFO] Using worker: sync
[2026-08-07 05:09:35 +0000] [565] [INFO] Booting worker with pid: 565
[2026-08-07 05:09:35 +0000] [567] [INFO] Booting worker with pid: 567
[2026-08-07 05:09:35 +0000] [570] [INFO] Booting worker with pid: 570
[2026-08-07 05:09:35 +0000] [575] [INFO] Booting worker with pid: 575
[2026-08-07 05:09:36 +0000] [581] [INFO] Booting worker with pid: 581
[2026-08-07 05:09:36 +0000] [582] [INFO] Booting worker with pid: 582
[2026-08-07 05:09:36 +0000] [583] [INFO] Booting worker with pid: 583
[2026-08-07 05:09:36 +0000] [584] [INFO] Booting worker with pid: 584
[2026-08-07 05:09:36 +0000] [588] [INFO] Booting worker with pid: 588
[2026-08-07 10:18:50 +0000] [378] [INFO] Handling signal: term
[2026-08-07 10:18:50 +0000] [567] [INFO] Worker exiting (pid: 567)
[2026-08-07 10:18:50 +0000] [565] [INFO] Worker exiting (pid: 565)
[2026-08-07 10:18:50 +0000] [570] [INFO] Worker exiting (pid: 570)
[2026-08-07 10:18:50 +0000] [582] [INFO] Worker exiting (pid: 582)
[2026-08-07 10:18:50 +0000] [588] [INFO] Worker exiting (pid: 588)
[2026-08-07 10:18:50 +0000] [584] [INFO] Worker exiting (pid: 584)
[2026-08-07 10:18:50 +0000] [581] [INFO] Worker exiting (pid: 581)
[2026-08-07 10:18:50 +0000] [583] [INFO] Worker exiting (pid: 583)
[2026-08-07 10:18:50 +0000] [575] [INFO] Worker exiting (pid: 575)
[2026-08-07 10:18:56 +0000] [378] [INFO] Shutting down: Master
[2026-08-07 10:19:01 +0000] [20757] [INFO] Starting gunicorn 23.0.0
[2026-08-07 10:19:01 +0000] [20757] [INFO] Listening at: http://127.0.0.1:8001 (20757)
[2026-08-07 10:19:01 +0000] [20757] [INFO] Using worker: sync
[2026-08-07 10:19:01 +0000] [20783] [INFO] Booting worker with pid: 20783
[2026-08-07 10:19:01 +0000] [20784] [INFO] Booting worker with pid: 20784
[2026-08-07 10:19:01 +0000] [20785] [INFO] Booting worker with pid: 20785
[2026-08-07 10:19:01 +0000] [20786] [INFO] Booting worker with pid: 20786
[2026-08-07 10:19:01 +0000] [20787] [INFO] Booting worker with pid: 20787
[2026-08-07 10:19:01 +0000] [20788] [INFO] Booting worker with pid: 20788
[2026-08-07 10:19:01 +0000] [20789] [INFO] Booting worker with pid: 20789
[2026-08-07 10:19:02 +0000] [20790] [INFO] Booting worker with pid: 20790
[2026-08-07 10:19:02 +0000] [20791] [INFO] Booting worker with pid: 20791
[2026-08-07 10:24:21 +0000] [20757] [INFO] Handling signal: term
[2026-08-07 10:24:21 +0000] [20784] [INFO] Worker exiting (pid: 20784)
[2026-08-07 10:24:21 +0000] [20783] [INFO] Worker exiting (pid: 20783)
[2026-08-07 10:24:21 +0000] [20785] [INFO] Worker exiting (pid: 20785)
[2026-08-07 10:24:21 +0000] [20787] [INFO] Worker exiting (pid: 20787)
[2026-08-07 10:24:21 +0000] [20786] [INFO] Worker exiting (pid: 20786)
[2026-08-07 10:24:21 +0000] [20790] [INFO] Worker exiting (pid: 20790)
[2026-08-07 10:24:21 +0000] [20791] [INFO] Worker exiting (pid: 20791)
[2026-08-07 10:24:21 +0000] [20788] [INFO] Worker exiting (pid: 20788)
[2026-08-07 10:24:21 +0000] [20789] [INFO] Worker exiting (pid: 20789)
[2026-08-07 10:24:21 +0000] [20757] [INFO] Shutting down: Master
[2026-08-07 10:24:23 +0000] [20955] [INFO] Starting gunicorn 23.0.0
[2026-08-07 10:24:23 +0000] [20955] [INFO] Listening at: http://127.0.0.1:8001 (20955)
[2026-08-07 10:24:23 +0000] [20955] [INFO] Using worker: sync
[2026-08-07 10:24:23 +0000] [20967] [INFO] Booting worker with pid: 20967
[2026-08-07 10:24:23 +0000] [20976] [INFO] Booting worker with pid: 20976
[2026-08-07 10:24:24 +0000] [20977] [INFO] Booting worker with pid: 20977
[2026-08-07 10:24:24 +0000] [20978] [INFO] Booting worker with pid: 20978
[2026-08-07 10:24:24 +0000] [20979] [INFO] Booting worker with pid: 20979
[2026-08-07 10:24:24 +0000] [20981] [INFO] Booting worker with pid: 20981
[2026-08-07 10:24:24 +0000] [20982] [INFO] Booting worker with pid: 20982
[2026-08-07 10:24:24 +0000] [20983] [INFO] Booting worker with pid: 20983
[2026-08-07 10:24:24 +0000] [20988] [INFO] Booting worker with pid: 20988
[2026-08-10 05:23:59 +0000] [386] [INFO] Starting gunicorn 23.0.0
[2026-08-10 05:23:59 +0000] [386] [INFO] Listening at: http://127.0.0.1:8001 (386)
[2026-08-10 05:23:59 +0000] [386] [INFO] Using worker: sync
[2026-08-10 05:24:00 +0000] [978] [INFO] Booting worker with pid: 978
[2026-08-10 05:24:00 +0000] [1000] [INFO] Booting worker with pid: 1000
[2026-08-10 05:24:00 +0000] [1068] [INFO] Booting worker with pid: 1068
[2026-08-10 05:24:00 +0000] [1104] [INFO] Booting worker with pid: 1104
[2026-08-10 05:24:00 +0000] [1116] [INFO] Booting worker with pid: 1116
[2026-08-10 05:24:00 +0000] [1117] [INFO] Booting worker with pid: 1117
[2026-08-10 05:24:00 +0000] [1118] [INFO] Booting worker with pid: 1118
[2026-08-10 05:24:00 +0000] [1119] [INFO] Booting worker with pid: 1119
[2026-08-10 05:24:00 +0000] [1143] [INFO] Booting worker with pid: 1143
[2026-08-10 06:23:30 +0000] [386] [INFO] Handling signal: term
[2026-08-10 06:23:30 +0000] [1000] [INFO] Worker exiting (pid: 1000)
[2026-08-10 06:23:30 +0000] [978] [INFO] Worker exiting (pid: 978)
[2026-08-10 06:23:30 +0000] [1068] [INFO] Worker exiting (pid: 1068)
[2026-08-10 06:23:30 +0000] [1143] [INFO] Worker exiting (pid: 1143)
[2026-08-10 06:23:30 +0000] [1117] [INFO] Worker exiting (pid: 1117)
[2026-08-10 06:23:30 +0000] [1104] [INFO] Worker exiting (pid: 1104)
[2026-08-10 06:23:30 +0000] [1118] [INFO] Worker exiting (pid: 1118)
[2026-08-10 06:23:30 +0000] [1116] [INFO] Worker exiting (pid: 1116)
[2026-08-10 06:23:30 +0000] [1119] [INFO] Worker exiting (pid: 1119)
[2026-08-10 06:23:31 +0000] [386] [INFO] Shutting down: Master
[2026-08-10 06:23:33 +0000] [10606] [INFO] Starting gunicorn 23.0.0
[2026-08-10 06:23:33 +0000] [10606] [INFO] Listening at: http://127.0.0.1:8001 (10606)
[2026-08-10 06:23:33 +0000] [10606] [INFO] Using worker: sync
[2026-08-10 06:23:33 +0000] [10626] [INFO] Booting worker with pid: 10626
[2026-08-10 06:23:33 +0000] [10627] [INFO] Booting worker with pid: 10627
[2026-08-10 06:23:33 +0000] [10628] [INFO] Booting worker with pid: 10628
[2026-08-10 06:23:33 +0000] [10629] [INFO] Booting worker with pid: 10629
[2026-08-10 06:23:33 +0000] [10630] [INFO] Booting worker with pid: 10630
[2026-08-10 06:23:33 +0000] [10631] [INFO] Booting worker with pid: 10631
[2026-08-10 06:23:33 +0000] [10632] [INFO] Booting worker with pid: 10632
[2026-08-10 06:23:33 +0000] [10633] [INFO] Booting worker with pid: 10633
[2026-08-10 06:23:33 +0000] [10634] [INFO] Booting worker with pid: 10634
[2026-08-10 06:26:09 +0000] [10606] [INFO] Handling signal: term
[2026-08-10 06:26:09 +0000] [10634] [INFO] Worker exiting (pid: 10634)
[2026-08-10 06:26:09 +0000] [10628] [INFO] Worker exiting (pid: 10628)
[2026-08-10 06:26:09 +0000] [10633] [INFO] Worker exiting (pid: 10633)
[2026-08-10 06:26:09 +0000] [10629] [INFO] Worker exiting (pid: 10629)
[2026-08-10 06:26:09 +0000] [10627] [INFO] Worker exiting (pid: 10627)
[2026-08-10 06:26:09 +0000] [10631] [INFO] Worker exiting (pid: 10631)
[2026-08-10 06:26:09 +0000] [10630] [INFO] Worker exiting (pid: 10630)
[2026-08-10 06:26:09 +0000] [10632] [INFO] Worker exiting (pid: 10632)
[2026-08-10 06:26:09 +0000] [10626] [INFO] Worker exiting (pid: 10626)
[2026-08-10 06:26:10 +0000] [10606] [INFO] Shutting down: Master
[2026-08-10 06:26:12 +0000] [18228] [INFO] Starting gunicorn 23.0.0
[2026-08-10 06:26:12 +0000] [18228] [INFO] Listening at: http://127.0.0.1:8001 (18228)
[2026-08-10 06:26:12 +0000] [18228] [INFO] Using worker: sync
[2026-08-10 06:26:13 +0000] [18244] [INFO] Booting worker with pid: 18244
[2026-08-10 06:26:13 +0000] [18245] [INFO] Booting worker with pid: 18245
[2026-08-10 06:26:13 +0000] [18247] [INFO] Booting worker with pid: 18247
[2026-08-10 06:26:13 +0000] [18246] [INFO] Booting worker with pid: 18246
[2026-08-10 06:26:13 +0000] [18252] [INFO] Booting worker with pid: 18252
[2026-08-10 06:26:13 +0000] [18253] [INFO] Booting worker with pid: 18253
[2026-08-10 06:26:13 +0000] [18254] [INFO] Booting worker with pid: 18254
[2026-08-10 06:26:13 +0000] [18255] [INFO] Booting worker with pid: 18255
[2026-08-10 06:26:13 +0000] [18257] [INFO] Booting worker with pid: 18257
[2026-08-10 06:30:52 +0000] [18228] [INFO] Handling signal: term
[2026-08-10 06:30:52 +0000] [18245] [INFO] Worker exiting (pid: 18245)
[2026-08-10 06:30:52 +0000] [18253] [INFO] Worker exiting (pid: 18253)
[2026-08-10 06:30:52 +0000] [18244] [INFO] Worker exiting (pid: 18244)
[2026-08-10 06:30:52 +0000] [18246] [INFO] Worker exiting (pid: 18246)
[2026-08-10 06:30:52 +0000] [18247] [INFO] Worker exiting (pid: 18247)
[2026-08-10 06:30:52 +0000] [18255] [INFO] Worker exiting (pid: 18255)
[2026-08-10 06:30:52 +0000] [18254] [INFO] Worker exiting (pid: 18254)
[2026-08-10 06:30:52 +0000] [18257] [INFO] Worker exiting (pid: 18257)
[2026-08-10 06:30:52 +0000] [18252] [INFO] Worker exiting (pid: 18252)
[2026-08-10 06:30:54 +0000] [18228] [INFO] Shutting down: Master
[2026-08-10 06:30:56 +0000] [18651] [INFO] Starting gunicorn 23.0.0
[2026-08-10 06:30:56 +0000] [18651] [INFO] Listening at: http://127.0.0.1:8001 (18651)
[2026-08-10 06:30:56 +0000] [18651] [INFO] Using worker: sync
[2026-08-10 06:30:56 +0000] [18671] [INFO] Booting worker with pid: 18671
[2026-08-10 06:30:56 +0000] [18672] [INFO] Booting worker with pid: 18672
[2026-08-10 06:30:56 +0000] [18673] [INFO] Booting worker with pid: 18673
[2026-08-10 06:30:56 +0000] [18674] [INFO] Booting worker with pid: 18674
[2026-08-10 06:30:56 +0000] [18675] [INFO] Booting worker with pid: 18675
[2026-08-10 06:30:56 +0000] [18676] [INFO] Booting worker with pid: 18676
[2026-08-10 06:30:56 +0000] [18677] [INFO] Booting worker with pid: 18677
[2026-08-10 06:30:56 +0000] [18681] [INFO] Booting worker with pid: 18681
[2026-08-10 06:30:57 +0000] [18684] [INFO] Booting worker with pid: 18684
[2026-08-10 06:33:30 +0000] [18651] [INFO] Handling signal: term
[2026-08-10 06:33:30 +0000] [18673] [INFO] Worker exiting (pid: 18673)
[2026-08-10 06:33:30 +0000] [18675] [INFO] Worker exiting (pid: 18675)
[2026-08-10 06:33:30 +0000] [18684] [INFO] Worker exiting (pid: 18684)
[2026-08-10 06:33:30 +0000] [18677] [INFO] Worker exiting (pid: 18677)
[2026-08-10 06:33:30 +0000] [18672] [INFO] Worker exiting (pid: 18672)
[2026-08-10 06:33:30 +0000] [18674] [INFO] Worker exiting (pid: 18674)
[2026-08-10 06:33:30 +0000] [18676] [INFO] Worker exiting (pid: 18676)
[2026-08-10 06:33:30 +0000] [18681] [INFO] Worker exiting (pid: 18681)
[2026-08-10 06:33:30 +0000] [18671] [INFO] Worker exiting (pid: 18671)
[2026-08-10 06:33:31 +0000] [18651] [INFO] Shutting down: Master
[2026-08-10 06:33:33 +0000] [18984] [INFO] Starting gunicorn 23.0.0
[2026-08-10 06:33:33 +0000] [18984] [INFO] Listening at: http://127.0.0.1:8001 (18984)
[2026-08-10 06:33:33 +0000] [18984] [INFO] Using worker: sync
[2026-08-10 06:33:33 +0000] [19004] [INFO] Booting worker with pid: 19004
[2026-08-10 06:33:33 +0000] [19005] [INFO] Booting worker with pid: 19005
[2026-08-10 06:33:33 +0000] [19006] [INFO] Booting worker with pid: 19006
[2026-08-10 06:33:33 +0000] [19007] [INFO] Booting worker with pid: 19007
[2026-08-10 06:33:33 +0000] [19008] [INFO] Booting worker with pid: 19008
[2026-08-10 06:33:33 +0000] [19009] [INFO] Booting worker with pid: 19009
[2026-08-10 06:33:33 +0000] [19010] [INFO] Booting worker with pid: 19010
[2026-08-10 06:33:33 +0000] [19011] [INFO] Booting worker with pid: 19011
[2026-08-10 06:33:33 +0000] [19012] [INFO] Booting worker with pid: 19012
[2026-08-10 06:36:18 +0000] [18984] [INFO] Handling signal: term
[2026-08-10 06:36:18 +0000] [19004] [INFO] Worker exiting (pid: 19004)
[2026-08-10 06:36:18 +0000] [19005] [INFO] Worker exiting (pid: 19005)
[2026-08-10 06:36:18 +0000] [19008] [INFO] Worker exiting (pid: 19008)
[2026-08-10 06:36:18 +0000] [19007] [INFO] Worker exiting (pid: 19007)
[2026-08-10 06:36:18 +0000] [19010] [INFO] Worker exiting (pid: 19010)
[2026-08-10 06:36:18 +0000] [19006] [INFO] Worker exiting (pid: 19006)
[2026-08-10 06:36:18 +0000] [19012] [INFO] Worker exiting (pid: 19012)
[2026-08-10 06:36:18 +0000] [19011] [INFO] Worker exiting (pid: 19011)
[2026-08-10 06:36:18 +0000] [19009] [INFO] Worker exiting (pid: 19009)
[2026-08-10 06:36:19 +0000] [18984] [INFO] Shutting down: Master
[2026-08-10 06:36:20 +0000] [19373] [INFO] Starting gunicorn 23.0.0
[2026-08-10 06:36:21 +0000] [19373] [INFO] Listening at: http://127.0.0.1:8001 (19373)
[2026-08-10 06:36:21 +0000] [19373] [INFO] Using worker: sync
[2026-08-10 06:36:21 +0000] [19388] [INFO] Booting worker with pid: 19388
[2026-08-10 06:36:21 +0000] [19392] [INFO] Booting worker with pid: 19392
[2026-08-10 06:36:21 +0000] [19397] [INFO] Booting worker with pid: 19397
[2026-08-10 06:36:21 +0000] [19398] [INFO] Booting worker with pid: 19398
[2026-08-10 06:36:21 +0000] [19400] [INFO] Booting worker with pid: 19400
[2026-08-10 06:36:21 +0000] [19401] [INFO] Booting worker with pid: 19401
[2026-08-10 06:36:21 +0000] [19402] [INFO] Booting worker with pid: 19402
[2026-08-10 06:36:21 +0000] [19403] [INFO] Booting worker with pid: 19403
[2026-08-10 06:36:21 +0000] [19404] [INFO] Booting worker with pid: 19404
[2026-08-10 07:09:33 +0000] [19373] [INFO] Handling signal: term
[2026-08-10 07:09:33 +0000] [19392] [INFO] Worker exiting (pid: 19392)
[2026-08-10 07:09:33 +0000] [19388] [INFO] Worker exiting (pid: 19388)
[2026-08-10 07:09:33 +0000] [19404] [INFO] Worker exiting (pid: 19404)
[2026-08-10 07:09:33 +0000] [19401] [INFO] Worker exiting (pid: 19401)
[2026-08-10 07:09:33 +0000] [19402] [INFO] Worker exiting (pid: 19402)
[2026-08-10 07:09:33 +0000] [19400] [INFO] Worker exiting (pid: 19400)
[2026-08-10 07:09:33 +0000] [19403] [INFO] Worker exiting (pid: 19403)
[2026-08-10 07:09:33 +0000] [19397] [INFO] Worker exiting (pid: 19397)
[2026-08-10 07:09:33 +0000] [19398] [INFO] Worker exiting (pid: 19398)
[2026-08-10 07:09:34 +0000] [19373] [INFO] Shutting down: Master
[2026-08-10 07:09:36 +0000] [20332] [INFO] Starting gunicorn 23.0.0
[2026-08-10 07:09:36 +0000] [20332] [INFO] Listening at: http://127.0.0.1:8001 (20332)
[2026-08-10 07:09:36 +0000] [20332] [INFO] Using worker: sync
[2026-08-10 07:09:36 +0000] [20348] [INFO] Booting worker with pid: 20348
[2026-08-10 07:09:36 +0000] [20354] [INFO] Booting worker with pid: 20354
[2026-08-10 07:09:36 +0000] [20356] [INFO] Booting worker with pid: 20356
[2026-08-10 07:09:36 +0000] [20357] [INFO] Booting worker with pid: 20357
[2026-08-10 07:09:36 +0000] [20358] [INFO] Booting worker with pid: 20358
[2026-08-10 07:09:36 +0000] [20359] [INFO] Booting worker with pid: 20359
[2026-08-10 07:09:36 +0000] [20360] [INFO] Booting worker with pid: 20360
[2026-08-10 07:09:36 +0000] [20361] [INFO] Booting worker with pid: 20361
[2026-08-10 07:09:36 +0000] [20362] [INFO] Booting worker with pid: 20362
[2026-08-10 07:15:57 +0000] [20332] [INFO] Handling signal: term
[2026-08-10 07:15:57 +0000] [20357] [INFO] Worker exiting (pid: 20357)
[2026-08-10 07:15:57 +0000] [20356] [INFO] Worker exiting (pid: 20356)
[2026-08-10 07:15:57 +0000] [20361] [INFO] Worker exiting (pid: 20361)
[2026-08-10 07:15:57 +0000] [20358] [INFO] Worker exiting (pid: 20358)
[2026-08-10 07:15:57 +0000] [20354] [INFO] Worker exiting (pid: 20354)
[2026-08-10 07:15:57 +0000] [20362] [INFO] Worker exiting (pid: 20362)
[2026-08-10 07:15:57 +0000] [20359] [INFO] Worker exiting (pid: 20359)
[2026-08-10 07:15:57 +0000] [20360] [INFO] Worker exiting (pid: 20360)
[2026-08-10 07:15:57 +0000] [20348] [INFO] Worker exiting (pid: 20348)
[2026-08-10 07:15:58 +0000] [20332] [INFO] Shutting down: Master
[2026-08-10 07:16:01 +0000] [20635] [INFO] Starting gunicorn 23.0.0
[2026-08-10 07:16:01 +0000] [20635] [INFO] Listening at: http://127.0.0.1:8001 (20635)
[2026-08-10 07:16:01 +0000] [20635] [INFO] Using worker: sync
[2026-08-10 07:16:01 +0000] [20659] [INFO] Booting worker with pid: 20659
[2026-08-10 07:16:01 +0000] [20660] [INFO] Booting worker with pid: 20660
[2026-08-10 07:16:01 +0000] [20661] [INFO] Booting worker with pid: 20661
[2026-08-10 07:16:02 +0000] [20663] [INFO] Booting worker with pid: 20663
[2026-08-10 07:16:02 +0000] [20662] [INFO] Booting worker with pid: 20662
[2026-08-10 07:16:02 +0000] [20664] [INFO] Booting worker with pid: 20664
[2026-08-10 07:16:02 +0000] [20665] [INFO] Booting worker with pid: 20665
[2026-08-10 07:16:02 +0000] [20667] [INFO] Booting worker with pid: 20667
[2026-08-10 07:16:02 +0000] [20666] [INFO] Booting worker with pid: 20666
[2026-08-11 05:04:05 +0000] [8826] [INFO] Starting gunicorn 23.0.0
[2026-08-11 05:04:05 +0000] [8826] [INFO] Listening at: http://127.0.0.1:8001 (8826)
[2026-08-11 05:04:05 +0000] [8826] [INFO] Using worker: sync
[2026-08-11 05:04:06 +0000] [9170] [INFO] Booting worker with pid: 9170
[2026-08-11 05:04:06 +0000] [9183] [INFO] Booting worker with pid: 9183
[2026-08-11 05:04:06 +0000] [9260] [INFO] Booting worker with pid: 9260
[2026-08-11 05:04:06 +0000] [9355] [INFO] Booting worker with pid: 9355
[2026-08-11 05:04:06 +0000] [9396] [INFO] Booting worker with pid: 9396
[2026-08-11 05:04:06 +0000] [9462] [INFO] Booting worker with pid: 9462
[2026-08-11 05:04:06 +0000] [9488] [INFO] Booting worker with pid: 9488
[2026-08-11 05:04:06 +0000] [9566] [INFO] Booting worker with pid: 9566
[2026-08-11 05:04:06 +0000] [9653] [INFO] Booting worker with pid: 9653
[2026-08-11 05:12:07 +0000] [9566] [ERROR] Error handling request /
Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 65, in wrapper
    return _cache[func][args_key]
           ~~~~~~~~~~~~^^^^^^^^^^
KeyError: ((), <object object at 0x77e484529440>, frozenset({('_ensure_on_bench', True)}))

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 102, in application
    init_request(request)
    ~~~~~~~~~~~~^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/app.py", line 180, in init_request
    frappe.init(site, sites_path=_sites_path, force=True, is_request=True)
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 225, in init
    setup_module_map(include_all_apps=not (is_request or is_job or frappe.flags.in_migrate))
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/__init__.py", line 1056, in setup_module_map
    apps = get_installed_apps(_ensure_on_bench=True)
  File "/home/sanjayh/frappe16-bench/apps/frappe/frappe/utils/caching.py", line 71, in wrapper
